"sample","n_dino_asvs_rarefied"
"SRR14697286",286
"SRR14697285",315
"SRR14697284",316
"SRR14697283",323
"SRR14697282",424
"SRR14697281",341
"SRR14697288",83
"SRR14697280",344
"SRR14696130",94
"SRR14696129",164
"SRR14696044",146
"SRR14696033",114
"SRR14696022",216
"SRR14696011",188
"SRR14696000",125
"SRR14695989",120
"SRR14695978",126
"SRR14697279",170
"SRR14695967",130
"SRR14696128",119
"SRR14696117",95
"SRR14696106",82
"SRR14696095",99
"SRR14696062",104
"SRR14696051",111
"SRR14696046",102
"ERR10975855",29
"ERR10975856",32
"ERR10975872",33
"ERR10975873",42
"ERR10975875",44
"ERR10975876",29
"SRR23272860",8
"SRR23272700",13
"ERR10234165",154
"ERR10234166",374
"ERR10234167",652
"ERR10234168",966
"ERR10234169",182
"ERR10234170",174
"ERR10234171",905
"ERR10234172",151
"ERR10234173",227
"ERR10234174",301
"ERR10234175",140
"ERR10234176",338
"ERR10234177",240
"ERR10234178",299
"ERR10234180",814
"ERR10234181",831
"ERR10234182",846
"ERR10234183",774
"ERR10234184",179
"ERR10234185",860
"ERR10234187",806
"ERR10234188",384
"ERR10234189",719
"ERR10234190",160
"ERR10234191",440
"ERR10234193",237
"ERR10234194",957
"ERR10234195",988
"ERR10234196",641
"ERR10234197",670
"ERR10234198",104
"ERR10234199",738
"ERR10234200",304
"ERR10234201",384
"ERR10234202",599
"ERR10234203",164
"ERR10234204",744
"ERR10234205",145
"ERR10234206",130
"ERR10234207",902
"ERR10234208",888
"ERR10234209",797
"ERR10234210",165
"ERR10234211",257
"ERR10234212",276
"ERR10234213",280
"ERR10234214",322
"ERR10234215",173
"ERR10234216",868
"ERR10234217",161
"ERR10234218",763
"ERR10234219",184
"ERR10234220",872
"ERR10234221",51
"ERR10234222",799
"ERR10234223",257
"ERR10234224",750
"ERR10234225",157
"ERR10234226",178
"ERR10234227",770
"ERR10234228",709
"ERR10234229",548
"ERR10234230",133
"ERR10234231",141
"ERR10234232",81
"ERR10234234",521
"ERR10234235",646
"ERR10234236",715
"ERR10234237",486
"ERR10234238",737
"ERR10234239",692
"ERR10234240",741
"ERR10234241",663
"ERR10234243",120
"ERR10234244",659
"ERR10234245",87
"ERR10234246",732
"ERR10234247",886
"ERR10234248",937
"ERR10234249",149
"ERR10234250",92
"ERR10234251",534
"ERR10234253",847
"ERR10234254",890
"ERR10234255",626
"ERR10234256",264
"ERR10234257",286
"ERR10234262",188
